rr_cd,line_cd,station_cd,line_sort,station_sort,station_g_cd,r_type,rr_name,line_name,station_name,pref_cd,lon,lat,f_flag
11,11104,1110412,11104,1110412,1110412,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),稀府,1,140.898836,42.425567,1
11,11104,1110413,11104,1110413,1110413,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),黄金,1,140.907781,42.386441,1
11,11104,1110414,11104,1110414,1110414,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),崎守,1,140.927141,42.373968,1
11,11104,1110415,11104,1110415,1110415,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),本輪西,1,140.977561,42.358734,1
11,11104,1110416,11104,1110416,1110416,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),室蘭,1,140.97571,42.317864,1
11,11104,1110417,11104,1110417,1110417,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),母恋,1,140.990018,42.317295,1
11,11104,1110418,11104,1110418,1110418,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),御崎,1,140.993881,42.329014,1
11,11104,1110419,11104,1110419,1110419,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),輪西,1,141.005743,42.333775,1
11,11104,1110420,11104,1110420,1110420,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),東室蘭,1,141.026411,42.349374,1
11,11104,1110421,11104,1110421,1110421,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),鷲別,1,141.042759,42.35953,1
11,11104,1110422,11104,1110422,1110422,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),幌別,1,141.107293,42.409782,1
11,11104,1110423,11104,1110423,1110423,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),富浦,1,141.156878,42.441957,1
11,11104,1110424,11104,1110424,1110424,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),登別,1,141.180931,42.45207,1
11,11104,1110425,11104,1110425,1110425,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),虎杖浜,1,141.215092,42.464695,1
11,11104,1110426,11104,1110426,1110426,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),竹浦,1,141.260395,42.49284,1
11,11104,1110427,11104,1110427,1110427,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),北吉原,1,141.286199,42.509119,1
11,11104,1110428,11104,1110428,1110428,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),萩野,1,141.30603,42.521159,1
11,11104,1110429,11104,1110429,1110429,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),白老,1,141.360054,42.55474,1
11,11104,1110430,11104,1110430,1110430,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),社台,1,141.417433,42.578682,1
11,11104,1110431,11104,1110431,1110431,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),錦岡,1,141.48722,42.6025,1
11,11104,1110432,11104,1110432,1110432,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),糸井,1,141.546187,42.6225,1
11,11104,1110433,11104,1110433,1110433,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),青葉,1,141.568278,42.62999,1
11,11104,1110434,11104,1110434,1110434,1,JR,JR室蘭本線(長万部・室蘭〜苫小牧),苫小牧,1,141.596837,42.639665,1
11,11105,1110501,11105,1110501,1110434,1,JR,JR室蘭本線(苫小牧〜岩見沢),苫小牧,1,141.596837,42.639665,1
11,11105,1110502,11105,1110502,1110502,1,JR,JR室蘭本線(苫小牧〜岩見沢),沼ノ端,1,141.693132,42.672057,1
11,11105,1110503,11105,1110503,1110503,1,JR,JR室蘭本線(苫小牧〜岩見沢),遠浅,1,141.769568,42.729533,1
11,11105,1110504,11105,1110504,1110504,1,JR,JR室蘭本線(苫小牧〜岩見沢),早来,1,141.814106,42.765237,1
11,11105,1110505,11105,1110505,1110505,1,JR,JR室蘭本線(苫小牧〜岩見沢),安平,1,141.825283,42.814007,1
11,11105,1110506,11105,1110506,1110506,1,JR,JR室蘭本線(苫小牧〜岩見沢),追分,1,141.810678,42.873316,1
11,11105,1110507,11105,1110507,1110507,1,JR,JR室蘭本線(苫小牧〜岩見沢),三川,1,141.800778,42.945029,1
11,11105,1110508,11105,1110508,1110508,1,JR,JR室蘭本線(苫小牧〜岩見沢),古山,1,141.793969,42.975256,1
11,11105,1110509,11105,1110509,1110509,1,JR,JR室蘭本線(苫小牧〜岩見沢),由仁,1,141.785868,43.012206,1
11,11105,1110510,11105,1110510,1110510,1,JR,JR室蘭本線(苫小牧〜岩見沢),栗山,1,141.775603,43.058164,1
11,11105,1110511,11105,1110511,1110511,1,JR,JR室蘭本線(苫小牧〜岩見沢),栗丘,1,141.744333,43.085444,1
11,11105,1110512,11105,1110512,1110512,1,JR,JR室蘭本線(苫小牧〜岩見沢),栗沢,1,141.739743,43.120367,1
11,11105,1110513,11105,1110513,1110513,1,JR,JR室蘭本線(苫小牧〜岩見沢),志文,1,141.744443,43.158903,1
11,11105,1110514,11105,1110514,1110327,1,JR,JR室蘭本線(苫小牧〜岩見沢),岩見沢,1,141.759359,43.204201,1
11,11106,1110601,11106,1110601,1110335,1,JR,JR根室本線(滝川〜新得),滝川,1,141.900807,43.555278,1
11,11106,1110602,11106,1110602,1110602,1,JR,JR根室本線(滝川〜新得),東滝川,1,141.98031,43.574037,1
11,11106,1110603,11106,1110603,1110603,1,JR,JR根室本線(滝川〜新得),赤平,1,142.048669,43.555144,1
11,11106,1110604,11106,1110604,1110604,1,JR,JR根室本線(滝川〜新得),茂尻,1,142.082156,43.537314,1
11,11106,1110605,11106,1110605,1110605,1,JR,JR根室本線(滝川〜新得),平岸,1,142.123872,43.541401,1
11,11106,1110606,11106,1110606,1110606,1,JR,JR根室本線(滝川〜新得),芦別,1,142.184543,43.516636,1
11,11106,1110607,11106,1110607,1110607,1,JR,JR根室本線(滝川〜新得),上芦別,1,142.210855,43.48871,1
11,11106,1110608,11106,1110608,1110608,1,JR,JR根室本線(滝川〜新得),野花南,1,142.261772,43.474418,1
11,11106,1110609,11106,1110609,1110609,1,JR,JR根室本線(滝川〜新得),島ノ下,1,142.350406,43.3744,1
11,11106,1110610,11106,1110610,1110610,1,JR,JR根室本線(滝川〜新得),富良野,1,142.391374,43.347114,1
11,11106,1110611,11106,1110611,1110611,1,JR,JR根室本線(滝川〜新得),布部,1,142.400595,43.291991,1
